model,target,mape_excluded_frac_near_zero,mape_pct,mase_seasonal_24h,mbe,pearson_r,picp_80pct_interval,pinball_loss_p10,pinball_loss_p50,pinball_loss_p90,r2,sharpness_p90_minus_p10,smape_pct
tft,solar_mw,0.502,49.68,1.0237,-25.1,0.9571,73.01,302.83,557.432,314.657,0.9159,1946.51,117.31
lstm,solar_mw,0.502,44.82,0.963,90.52,0.9571,,,,,0.9144,,114.93
tft,wind_mw,0.0,48.05,0.5811,-843.21,0.8536,44.81,1145.348,2265.865,1436.239,0.7228,6906.8,36.63
lstm,wind_mw,0.0,57.82,0.8023,-2246.75,0.7184,,,,,0.3846,,56.47
tft,load_mw,0.0,5.88,0.7235,2174.14,0.9455,39.53,1223.464,1487.148,535.24,0.8479,3824.09,5.64
lstm,load_mw,0.0,7.14,0.8888,3291.56,0.9311,,,,,0.7567,,6.69
